groupName,projectName,gitUrl,tag
Net,netProject1,https://github.com/JamesNK/Newtonsoft.Json,
Net,netProject2,https://github.com/dotnet/runtime,
Net,netProject3,https://github.com/microsoft/referencesource,
Net,netProject4,https://github.com/dotnet/corefx,
Net,netProject5,https://github.com/dotnet/diagnostics,
Go,goProject1,https://github.com/golang/net,
Go,goProject2,https://github.com/golang/text,v0.3.6
Go,goProject3,https://github.com/pkg/errors,v0.9.1
Go,goProject3,https://github.com/golang/protobuf,v1.5.2
Go,goProject2,https://github.com/davecgh/go-spew,v1.1.1
Go,goProject1,https://github.com/golang/sys,
JavaScript,jsProject1,https://github.com/isaacs/inherits,
JavaScript,jsProject2,https://github.com/juliangruber/isarray,v2.0.5
JavaScript,jsProject3,https://github.com/feross/safe-buffer,v5.2.1
JavaScript,jsProject4,https://github.com/vercel/ms,2.1.3
JavaScript,jsProject1,https://github.com/microsoft/vscode-js-debug,v2020.6.208
JavaScript,jsProject1,https://github.com/nodejs/node-inspect,v2.0.0
JavaScript,jsProject1,https://github.com/nodejs/node-core-utils,v1.9.2
JavaScript,jsProject4,https://github.com/nodejs/string_decoder,v1.3.0
Ruby,rubyProject1,https://github.com/ruby/rake,
Ruby,rubyProject1,https://github.com/tzinfo/tzinfo,v2.0.4
Ruby,rubyProject1,https://github.com/ruby-i18n/i18n,v1.8.9
Ruby,rubyProject1,https://github.com/rack/rack,
Ruby,rubyProject1,https://github.com/intridea/multi_json,v1.9.3
Ruby,rubyProject2,https://github.com/halostatue/diff-lcs,v1.4.4
Ruby,rubyProject3,https://github.com/rspec/rspec-expectations,v3.9.4
Ruby,rubyProject4,https://github.com/rspec/rspec-core,v3.9.4
PHP,project1,https://github.com/php-fig/log,1.1.4
PHP,project2,https://github.com/sebastianbergmann/phpunit,9.5.6
PHP,project3,https://github.com/sebastianbergmann/php-timer,5.0.3
PHP,project4,https://github.com/sebastianbergmann/php-text-template,2.0.4
PHP,project5,https://github.com/sebastianbergmann/php-file-iterator,3.0.5
PHP,project6,https://github.com/sebastianbergmann/php-code-coverage,9.2.6
PHP,project7,https://github.com/doctrine/instantiator,1.4.0
Python,pyProject1,https://github.com/benjaminp/six,1.9.0
Python,pyProject2,https://github.com/urllib3/urllib3,1.9.1
Python,pyProject3,https://github.com/psf/requests,v2.9.2
Python,pyProject4,https://github.com/python/cpython,v3.9.6
Python,pyProject3,https://github.com/chardet/chardet,4.0.0
Python,pyProject2,https://github.com/pypa/setuptools,v57.1.0
Java,pyProject1,https://github.com/qos-ch/slf4j,v_2.0.0_alpha2
Java,java1,https://github.com/FasterXML/jackson-cor,jackson-core-2.9.9
Java,java2,https://github.com/FasterXML,jackson-annotations-2.9.9
Java,java3,https://github.com/FasterXML/jackson-databind/tree/2.13/.github,jackson-databind-2.9.9.3
Java,java4,https://apache/commons-codec,rel/commons-codec-1.15
Swift,java5,https://github.com/SwiftLint,0.9.2
Swift,java6,https://github.com/firebase/firebase,v7.3.2-fireperf-mock
Swift,java7,http://www.google.com/,nanopb-0.4.5
Swift,,https://github.com/Alamofire/Alamofire,5.4.3
,swift,https://github.com/firebase/firebase-ios-sdk,v7.3.2-fireperf-mock
Swift,,https://github.com/OfficeDev/ui-fabric-ios,1.1.4
,swift,https://github.com/firebase/quickstart-ios/tree/master/crashlytics,
algorithm,python1,https://github.com/onlybooks/algorithm-interview,
algorithm,java1,https://github.com/TheAlgorithms/Java,
algorithm,javascript1,https://github.com/trekhleb/javascript-algorithms,
algorithm,cplusplus,https://github.com/TheAlgorithms/C-Plus-Plus,
algorithm,golang,https://github.com/TheAlgorithms/Go,